구분,총자산증가율2013,유동자산증가율2013,매출액증가율2013,매출액순이익률2013,매출원가대매출액비율2013,자기자본순이익률2013,총자산순이익률2013,매출액대판매관리비2013,매출채권회전율2013,재고자산회전율2013,총자본회전율2013,유형자산회전율2013,부채비율2013,유동비율2013,자기자본배율2013,당좌비율2013,고정비율2013,순운전자본비율2013,차입금의존도2013,현금비율2013,부채/자산2013,부채/매출액2013,부채/현금흐름2013,유동부채/부채2013,현금흐름/매출액2013,차입금평균금리2013,이자보상배율2013,매출,자산,업종,정상기업여부
(주)EG메탈,-0.03374992000219,0.0075923480606777,0.4907880746892746,-0.028923198157285,0.960242444799144,-0.0390116965873935,-0.0252468805827793,0.0391244691540053,14.20271641006953,2.8059402218317944,0.8728938081289016,1.520707102793131,0.5452085836696595,8.37033438702575,0.6471618204612457,2.3461112573083422,0.5849449943441395,0.3654685749991346,0.3030922266574718,0.4419749623122125,0.3528381795387542,0.4042166140404676,-2.643334441572795,0.1405358986987957,-0.1529192097992553,4.17,0.0436790130928604,1,1,1,1
(주)G1네트웍스,0.1709704944407568,0.6343737805136545,-0.0413715452523245,-0.0188644037822877,0.882403667445106,-0.0951596336386875,-0.0234697139883331,0.1408761355816057,11.872070147669431,63.2714735956822,1.244126994905053,2.73463812945336,3.0545715080290945,1.1716142062996078,0.2466351864851175,1.1165782760001808,0.6306292991700303,0.0541042016053624,0.2480228995252816,0.2464905814459081,0.7533648135148825,0.60553690788807,46.07667943805875,0.4184778004439657,0.0131419389433671,0.3,-26.81779718848096,1,1,1,0
(주)KH엘텍,0.4154246539233182,1.5250450116909189,2.7562209775161293,0.1688352453968833,0.7862410444948276,0.6748094225643081,0.264763904753121,0.0503884938238428,11.179281568865456,14.96590861793052,1.5681791093485062,2.3792765494822503,1.5487213719465796,0.7295545064591928,0.3923535977713611,0.5521005302136187,0.6612960230242232,-0.1255573962006247,0.3145719968121762,0.2286354576346125,0.6076464022286389,0.3874853316220257,5.935186158325528,0.7640321270292227,0.0652861294128886,5.56,13.747664233345072,1,1,0,1
(주)SIMPAC산기,0.1619031071426951,1.168193612445143,2.155181881604417,-0.3146835181174389,0.9580294609000604,-0.178584540388831,-0.1018557579555026,0.1309206546101951,3.7189437156331735,1.1071601298226368,0.3236768120708831,0.9382757401065824,0.7533082466172273,1.1806131639236246,0.5703503659036371,0.4659772065234542,0.5372965137530579,0.0707855402287872,0.1555313550206941,0.1332878056174515,0.4296496340963628,1.3274031937829158,27.17748362069664,0.9121803323362184,0.0488420198245304,4.41,-3.5503516762841514,0,1,0,0
(주)가야,0.0040880431945259,0.091579703918443,-0.1124533500831782,0.0931970503220962,0.9143193962417072,0.4630489158728352,0.1086463133786171,0.0543274386729919,3.561145363563353,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.045549270209591,0.7653676256828598,0.65653405907197,159.05112526003907,0.967188632072256,0.0041278177567029,3.91,1.4970532323328545,1,1,0,1
(주)가야,0.0040880431945259,0.091579703918443,-0.1124533500831782,0.0931970503220962,0.9143193962417072,0.4630489158728352,0.1086463133786171,0.0543274386729919,3.561145363563353,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.045549270209591,0.7653676256828598,0.65653405907197,159.05112526003907,0.967188632072256,0.0041278177567029,3.91,1.4970532323328545,1,0,0,1
(주)가야,0.0040880431945259,0.091579703918443,-0.1124533500831782,0.0931970503220962,0.9143193962417072,0.4630489158728352,0.1086463133786171,0.0543274386729919,3.561145363563353,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.045549270209591,0.7653676256828598,0.65653405907197,159.05112526003907,0.967188632072256,0.0041278177567029,3.91,1.4970532323328545,1,1,0,1
(주)가야,0.0040880431945259,0.091579703918443,-0.1124533500831782,0.0931970503220962,0.9143193962417072,0.4630489158728352,0.1086463133786171,0.0543274386729919,3.561145363563353,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.045549270209591,0.7653676256828598,0.65653405907197,159.05112526003907,0.967188632072256,0.0041278177567029,3.91,1.4970532323328545,1,0,0,1
(주)강원심층수,-0.0264101544997587,0.2442438048095901,0.3939160606240299,-0.928978275648086,0.8739175285660709,-0.3428244324355228,-0.1379507524422208,0.8770420814606051,8.416376610745548,11.961728767012174,0.1484972857368293,0.1563718822542731,1.4851218740478498,0.0570290566874742,0.4023947519206237,0.0387989163154726,0.9660607337579424,-0.5611830838969014,0.1760028919789479,0.0064430115022655,0.5976052480793763,4.024351321400362,490.4157639533684,0.9958452541231908,0.0082059991076938,5.16,-4.214063025175152,0,1,0,0
(주)강원엘피씨,-0.1002856851933778,-0.0773888359352347,0.0737992562106869,0.01873982748377,0.9424935358790828,0.1892229808156854,0.0549933908298117,0.0367605909398343,9.533674230193265,49.019812231592,2.9345729504415017,5.053421703369034,2.440831306461434,1.3278645535982672,0.2906274417237863,1.145656908395242,0.5888135171833553,0.1015265241240164,0.2696788755775396,0.3250006967839152,0.7093725582762137,0.2417293999010963,11.38685189199013,0.4365265544597705,0.0212288174285586,5.69,2.07051215285997,2,1,0,1
(주)계림물산,0.0334768909547381,0.0712294147726922,0.0446638330234948,-0.0044537864705516,0.9569145710735713,-0.2174912873566348,-0.0228726807286891,0.0433686498027418,32.83653889656094,10.90795736045886,5.135558446711039,20.86367246732616,8.50877992555706,0.8875226711383826,0.1051659632286017,0.341519682417242,0.2676783932550812,-0.0928084215456319,0.6998549882891356,0.1238316311561213,0.8948340367713983,0.1742427909362955,-17.434159390796296,0.9221039817256586,-0.0099943327940594,5.09,-0.0403195299985522,2,0,0,0
(주)골든블루,0.246494730024587,0.3263340613496236,0.9948319065602662,0.0592498743085165,0.5610744746384522,0.2444782881744625,0.0797271884758017,0.364969544610919,2.712271578142912,2.996627356480257,1.3456094110961156,7.538580202595153,2.06643549625648,1.2503649243462234,0.3261115294578123,0.8605189005725068,0.1919273187702576,0.1618032017445067,0.44466820078207,0.0677763577084163,0.673888440210114,0.5008053857628517,-42.74321394284879,0.9590154847464952,-0.0117166057384564,5.41,4.565590515022056,2,1,0,1
(주)공간세라믹,-0.0625432867457939,-0.0747433627521208,0.0222767760899842,0.0402001854997668,0.7636179443910421,0.0398653442218992,0.0250464374434704,0.1859771066990534,9.381172019549988,1.6197287302431669,0.6230428325664252,1.3870686880531882,0.5916572690976462,1.4135971432976522,0.6282759607958359,0.4442023479141888,0.5716717496333974,0.1253223675396222,0.2579867981347272,0.2211405885203295,0.3717240392041641,0.5966267803338112,30.439532739010144,0.8151366359724688,0.0196003922086884,4.32,2.34566039616916,1,0,0,1
(주)광산,-0.1593279181556803,-0.2402136762609182,-0.1211742307379355,-0.2269336932562471,0.8930826630310255,-1.5199852929570632,-0.2019005237144919,0.1998837334602975,10.262194309446947,5.842133775275912,0.8896894983615833,1.2705710069866905,6.52838707395568,0.3485011466495584,0.1328305771444035,0.1768334195712927,0.7238950581008721,-0.516159142605507,0.6603963960881208,0.0118366716108288,0.8671694228555965,0.9746877134691836,-77.79284310179433,0.9136208722578136,-0.0125292722904313,5.13,-2.3777205190176804,2,2,0,0
(주)광일,0.3269363109318453,0.525968861776693,0.0275866812906004,0.0126306752819068,0.9365316467060244,0.1306564170401166,0.0276530773501768,0.0424701843050822,22.733640396241675,10.75394962155105,2.1893585840013894,4.370742197688717,3.7248418461926094,0.5733917113815519,0.2116472958361185,0.3087653246341635,0.5868671487356676,-0.307374339655666,0.5241811168410642,0.0689540800884367,0.7883527041638815,0.3600838665373151,19.844798448571783,0.913940152820508,0.0181449999338859,4.15,2.1111159700099047,1,1,0,1
(주)광일,0.3269363109318453,0.525968861776693,0.0275866812906004,0.0126306752819068,0.9365316467060244,0.1306564170401166,0.0276530773501768,0.0424701843050822,22.733640396241675,10.75394962155105,2.1893585840013894,4.370742197688717,3.7248418461926094,0.5733917113815519,0.2116472958361185,0.3087653246341635,0.5868671487356676,-0.307374339655666,0.5241811168410642,0.0689540800884367,0.7883527041638815,0.3600838665373151,19.844798448571783,0.913940152820508,0.0181449999338859,4.15,2.1111159700099047,2,1,0,1
(주)광일,0.3269363109318453,0.525968861776693,0.0275866812906004,0.0126306752819068,0.9365316467060244,0.1306564170401166,0.0276530773501768,0.0424701843050822,22.733640396241675,10.75394962155105,2.1893585840013894,4.370742197688717,3.7248418461926094,0.5733917113815519,0.2116472958361185,0.3087653246341635,0.5868671487356676,-0.307374339655666,0.5241811168410642,0.0689540800884367,0.7883527041638815,0.3600838665373151,19.844798448571783,0.913940152820508,0.0181449999338859,4.15,2.1111159700099047,1,1,0,1
(주)광일,0.3269363109318453,0.525968861776693,0.0275866812906004,0.0126306752819068,0.9365316467060244,0.1306564170401166,0.0276530773501768,0.0424701843050822,22.733640396241675,10.75394962155105,2.1893585840013894,4.370742197688717,3.7248418461926094,0.5733917113815519,0.2116472958361185,0.3087653246341635,0.5868671487356676,-0.307374339655666,0.5241811168410642,0.0689540800884367,0.7883527041638815,0.3600838665373151,19.844798448571783,0.913940152820508,0.0181449999338859,4.15,2.1111159700099047,2,1,0,1
(주)국일방적,0.1930828969526767,-0.0766147932425243,-0.1127212325124112,0.0740051378179123,0.929685654784835,0.1591929617460684,0.0735430052570171,0.0357354461372031,11.973213915302972,3.846110005370176,0.9937553989557826,2.106939175078289,1.1646241024516588,1.4603051408361405,0.4619739745424609,0.7888142328510707,0.4776069459030913,0.1646643578890755,0.4922760726848683,0.3137546617011736,0.5380260254575391,0.5414068955226664,8.615202076482745,0.6648910634083537,0.0628432032953198,1.25,6.000394613832397,2,2,0,1
(주)글로벌아이엔씨,-0.2272059137489645,-0.6139192613093591,0.197817168076044,0.0770914027802601,0.5457882179950533,0.1517628779047785,0.0412129668677289,0.316504527587561,83.84121872075642,4.028633088598764,0.5345987409932289,0.7235894624369376,2.682406034776728,0.4395101497974643,0.271561579726944,0.2474510429270345,0.8342596023792708,-0.211362150971393,0.4804541190339028,0.1487276586090799,0.728438420273056,1.362589105465705,-938.977424832684,0.5176862423741527,-0.0014511414965152,4.41,2.0729864252406296,1,0,0,1
(주)글로실,-0.130241222681637,-0.2456029140507036,-0.283348698933422,-3.278320825346849,1.7995974210915295,-2.2841858961853,-0.2064821097766584,0.6363174244563683,2.8295490287754497,4.704536279713426,0.0629841070404732,0.0664191597447699,10.062391306714137,0.2198681207132964,0.0903963684048191,0.1105599924726748,0.951538224280143,-0.1719511498222236,0.5598570220238309,0.0009888199303791,0.9096036315951808,14.44179610279582,-3379.506186726659,0.2423175522678382,-0.0042733450702109,8.32,-1.7345404767071944,0,1,0,0
(주)기독교텔레비젼,0.4265360992626625,0.3636803501361264,-0.0394356613138887,0.1841151482918665,2.56073427281302,0.0982159436369858,0.0201380300254115,1.2400146571201205,6.081742313899933,126.18878305940726,0.1093773663505839,0.1245784994449205,3.877137610434094,0.1238146420583142,0.2050382990753861,0.1204439872483503,0.918468561668484,-0.5769644953975209,0.5195708187710435,0.0562535361727042,0.7949617009246138,7.268064019538991,-141.64064892517388,0.8283366770539329,-0.0513134052596622,4.5,-16.355985913274658,0,2,1,0
(주)기화정밀,0.0380192779834822,0.169654160083024,-0.0943484951315656,0.0788120899267425,0.9804988339096034,0.0508132316902389,0.0325864236742788,0.0945855880292524,6.297033336454441,4.621187459260683,0.4134698585530288,2.487000346540785,0.5593374774153851,1.338309345556444,0.641297996414162,1.080196561219256,0.5451330885877574,0.114985169629204,0.250014560319022,0.2796783458810701,0.358702003585838,0.8675408767186673,-14.64798724709827,0.9475323203810992,-0.0592259442941913,4.07,-2.746945878361581,1,1,0,0
