구분,총자산증가율2002,유동자산증가율2002,매출액증가율2002,매출액순이익률2002,매출원가대매출액비율2002,자기자본순이익률2002,총자산순이익률2002,매출액대판매관리비2002,매출채권회전율2002,재고자산회전율2002,총자본회전율2002,유형자산회전율2002,부채비율2002,유동비율2002,자기자본배율2002,당좌비율2002,고정비율2002,순운전자본비율2002,차입금의존도2002,현금비율2002,부채/자산2002,부채/매출액2002,부채/현금흐름2002,유동부채/부채2002,현금흐름/매출액2002,차입금평균금리2002,이자보상배율2002,매출,자산,업종,정상기업여부
(유)유맥에프앤알,-0.0933052137005878,-0.0966336439640558,0.1331824881658429,0.0127318835175165,0.8475608160587376,0.1839595432452477,0.0370000448853563,0.1426248381093725,211.0465600429801,33.73991127082665,2.9060935747999523,3.572694377877718,3.9718735157009,0.1389541362844811,0.2011314239676563,0.0398051353642601,0.8976896276485828,-0.6339784139136923,0.5819109737725118,0.0134958010390526,0.7988685760323436,0.274894305868088,-413.1755270225525,0.9216644744270168,-0.0006653208815368,5.86,0.7427174215059739,2,1,1,0
(주)KHE,-0.317719215495597,-0.3937312797452202,-0.2531214417006655,-0.4704621167504242,1.0950438269999432,-3.532703243315797,-0.3790934865859618,0.2918120341886474,2.2580602334812467,17.274976050463515,0.8057896121465342,1.529741768012809,8.318818097168055,0.5901482073583303,0.1073097456751404,0.5225167760193181,0.554293874348088,-0.309538303906057,0.6766933402015436,0.0209013887101176,0.8926902543248596,1.1078453244722672,-10.17932008932097,0.8460319535086765,-0.1088329392092206,7.21,-6.908262819315057,1,1,0,0
(주)NH무역,0.3025588685455205,0.3124778357303311,0.6074792571089631,0.0182725849122763,0.9009444617736544,0.098523580074296,0.0351094140108679,0.0814660219898873,7.559893464270195,6.826634067853196,1.921425686591276,662.7255670419174,1.8061870228792376,1.5499631201259123,0.3563554428735961,1.1478268362964157,0.0226208733023629,0.3467969444465916,0.5256308407602941,0.1342631819769653,0.6436445764506729,0.3349828103904121,-18.861199559892203,0.9797055787036084,-0.0177604191783614,3.64,1.6085531338006795,2,2,1,1
(주)건잠디지털,-0.4207777327578285,-0.3212749962943201,-0.4993244421756521,-1.48866228959892,0.8882394549572707,-2.2045015299199533,-0.7621278541420272,0.7717604115077319,1.4625601346441608,4.836829014258614,0.5119548331860829,5.836993276158905,1.892561291309438,1.755435602535341,0.3457143684403342,1.4500602486358338,0.4595545167819268,0.2325757542245866,0.2654931670294644,0.0939846063919067,0.6542856315596658,1.2780143660092165,-4.800855415838619,0.4705433134143512,-0.2662055519924403,11.85,-5.377087053071464,0,0,0,0
(주)게스템프카테크,-0.024956121873149,0.1168382199148616,0.5578824379527926,0.0312757833148679,0.8973946586202398,0.1496129296251009,0.0371390953712823,0.0507041928886778,9.65188136807232,28.51552803312173,1.187471309587537,1.4677587599768458,3.028448541865876,0.3529239006304644,0.2482345306942737,0.2810782043023723,0.8164285603249014,-0.3365730995504,0.5079110469995957,0.0263259649615084,0.7517655025218333,0.633080981790588,-536.4818308957736,0.6918973236742695,-0.0011800604332368,7.72,1.496305722621945,2,1,0,1
(주)경동개발,0.0650353534137007,0.1382449126772898,0.21010897121215,0.1943746838750711,0.9018335044251752,0.1239000226435395,0.0842569366895766,0.1615450266433641,5.590368653749311,4.15619992978018,0.4334769066105873,0.9201404931909472,0.470502340952862,3.021002471947269,0.6800397198633604,2.463852510225973,0.4899944534720257,0.3411855585891515,0.0006002351727861,0.5503378497849989,0.3199602801366396,0.7381253193819501,8.508285629494024,0.527627869854568,0.0867537070950267,6.16,-479.6239436619719,1,2,0,0
(주)경인일보,-0.4925818410310192,-0.1195204566936642,0.0903960529553377,-0.0196162979616707,0.6831014339263175,-0.0654650321102523,-0.0241589365154758,0.7441001505717163,4.202426248913924,69.42348710536058,1.2315747121440124,3.3127069594691263,1.7097646483038105,1.3733423123834478,0.369035739183458,1.340251848939634,0.4970607997944156,0.136723730347433,0.1470413980931113,0.0733725277231574,0.6309642608165419,0.51232317016165,28.12551002432881,0.5804060429416801,0.0182156046136936,7.54,-49.67869821291702,1,0,1,0
(주)교학사,0.0048973764504812,-0.0293063127357412,0.2218310079807602,0.0437059661009429,0.6796700131610547,0.0949690856544261,0.0321990850262771,0.2241841204099238,2.270853380246236,1.7109880106418054,0.7367205875717389,2.557596230649444,1.9494342953199848,1.2478812081512656,0.3390480681623422,0.6767993027634787,0.3605173083663167,0.1270279103159358,0.293079730747014,0.0022722294804534,0.6609519318376578,0.8971541490596623,10804.35619552861,0.7753283660022889,8.303633579120154e-05,7.56,3.0139768056045315,2,2,0,1
(주)국일인토트,-0.075674116066279,-0.0550836399778741,0.0166706457758387,0.0402110195804088,0.7217211341194995,0.3363099139308522,0.033990011220297,0.1797381256799337,8.980763369789521,2.619847397874215,0.8452909569310517,2.600839702011229,8.894375985136957,0.893595772778739,0.1010675267434598,0.5796687413200428,0.3371547087146059,-0.0789278047020139,0.581436057883069,0.015810603389222,0.8989325827442166,1.0634593631616722,162.83923046410155,0.8251711192964396,0.0065307319380639,8.48,1.5509877474465352,0,0,0,1
(주)금성출판사,-0.0370265380758627,-0.1432036825402451,0.0944523822056123,-0.0206764661544075,0.4486850346756022,-0.0829593629096744,-0.0224931408927172,0.5723483426926195,11.426957205675905,2.769193982031572,1.0878619549754376,3.0404035404044363,2.6882071430288588,0.6680063402541316,0.2711344458757194,0.3933971161295275,0.5712269727489238,-0.2130966698059259,0.0884086506462262,0.0045279532803402,0.7288655541242806,0.6699982022450058,659.0660410401343,0.880642106661492,0.0010165873532,5.98,-2.2771223828696683,2,2,1,0
