구분,총자산증가율2013,유동자산증가율2013,매출액증가율2013,매출액순이익률2013,매출원가대매출액비율2013,자기자본순이익률2013,총자산순이익률2013,매출액대판매관리비2013,매출채권회전율2013,재고자산회전율2013,총자본회전율2013,유형자산회전율2013,부채비율2013,유동비율2013,자기자본배율2013,당좌비율2013,고정비율2013,순운전자본비율2013,차입금의존도2013,현금비율2013,부채/자산2013,부채/매출액2013,부채/현금흐름2013,유동부채/부채2013,현금흐름/매출액2013,차입금평균금리2013,이자보상배율2013,정상기업여부
(주)EG메탈,-0.03374992000219,0.007592348060677752,0.49078807468927466,-0.028923198157285022,0.9602424447991439,-0.03901169658739351,-0.025246880582779352,0.03912446915400537,14.20271641006953,2.8059402218317944,0.8728938081289016,1.520707102793131,0.5452085836696595,8.37033438702575,0.6471618204612457,2.3461112573083422,0.5849449943441395,0.3654685749991346,0.3030922266574718,0.4419749623122125,0.35283817953875424,0.40421661404046766,-2.643334441572795,0.14053589869879576,-0.15291920979925533,4.17,0.04367901309286046,0
(주)ENS,-0.019716162602557298,0.0011161354710973158,-0.08846838991937347,0.008198622931772388,0.6458036450781999,0.05288995978487815,0.008794665805565207,0.33817494184653346,2.312956631232824,1.845681844799043,1.0727003642871482,7.558103062485172,5.01386805981982,1.3278035316151513,0.16628233111418822,0.7361295878869085,0.15768709392910066,0.2079472894602078,0.18588795102149563,0.0001651843490488839,0.8337176688858118,0.7772139328393444,-323.3550075743315,0.7608878164456605,-0.002403593309624814,9.1,0.6767616554847306,0
(주)G1네트웍스,0.17097049444075688,0.6343737805136545,-0.041371545252324574,-0.018864403782287743,0.882403667445106,-0.09515963363868755,-0.02346971398833317,0.1408761355816057,11.872070147669433,63.2714735956822,1.244126994905053,2.73463812945336,3.0545715080290945,1.1716142062996078,0.24663518648511754,1.1165782760001808,0.6306292991700303,0.054104201605362494,0.24802289952528167,0.24649058144590819,0.7533648135148825,0.60553690788807,46.07667943805875,0.4184778004439657,0.013141938943367178,0.3,-26.81779718848096,0
(주)IEN한창,-0.02974542452496825,-0.039138112977850664,-0.03139359374674081,-0.07434792360137832,0.7966855880613847,-0.04544034414039904,-0.0239824386444413,0.13846389166962517,5.191184259140332,1.865613270220151,0.3225703890941844,0.7048388891224288,0.8947340933125371,1.327440898111582,0.5277785434534057,0.9615459206761277,0.5002547667618609,0.12327255264717876,0.28670422952237484,0.03903190076886697,0.47222145654659436,1.4639330593010964,-20.769287689962525,0.7972375574463411,-0.07048547264375334,3.86,1.5011268765809416,1
(주)KH엘텍,0.4154246539233182,1.5250450116909189,2.7562209775161293,0.16883524539688335,0.7862410444948276,0.6748094225643081,0.264763904753121,0.050388493823842834,11.179281568865456,14.96590861793052,1.5681791093485062,2.3792765494822503,1.5487213719465796,0.7295545064591928,0.39235359777136114,0.5521005302136187,0.6612960230242232,-0.12555739620062478,0.3145719968121762,0.22863545763461257,0.6076464022286389,0.3874853316220257,5.935186158325528,0.7640321270292227,0.06528612941288862,5.56,13.747664233345072,1
(주)SIMPAC산기,0.1619031071426951,1.168193612445143,2.155181881604417,-0.31468351811743894,0.9580294609000604,-0.178584540388831,-0.10185575795550263,0.13092065461019517,3.7189437156331735,1.1071601298226368,0.3236768120708831,0.9382757401065823,0.7533082466172273,1.1806131639236246,0.5703503659036371,0.4659772065234542,0.5372965137530579,0.07078554022878723,0.15553135502069415,0.13328780561745154,0.42964963409636286,1.3274031937829158,27.177483620696638,0.9121803323362184,0.04884201982453042,4.41,-3.5503516762841514,0
(주)가야,0.004088043194525937,0.09157970391844306,-0.11245335008317825,0.09319705032209626,0.9143193962417073,0.46304891587283525,0.10864631337861716,0.0543274386729919,3.5611453635633534,5.777743002723051,1.1657698715048068,2.7183315845938014,3.2619850439063742,0.7427158923451918,0.2346324754347425,0.4935025623120748,0.4502010470727718,-0.1904558128717652,0.4459220534962675,0.04554927020959106,0.7653676256828598,0.65653405907197,159.05112526003907,0.967188632072256,0.004127817756702922,3.91,1.4970532323328543,1
(주)가우넷,-0.32710671116535495,-0.29072136687065847,-0.026961954699111144,0.00285902281828775,0.9314795659340178,0.017432322910476236,0.00790978346112191,0.068108640802433,23.59528359176762,8.298726690966385,2.766603823700514,35.9390137030465,1.2038938229041818,1.5015654321312486,0.45374236708111904,0.9089730205162854,0.21314106399316676,0.26283319648910597,0.27708311728293844,0.015371098283277531,0.546257632918881,0.1974470027979017,69.2662687163605,0.959301450338809,0.002850550584822613,4.13,0.06238203604439219,0
(주)강원심층수,-0.02641015449975877,0.24424380480959015,0.39391606062402995,-0.928978275648086,0.8739175285660709,-0.34282443243552285,-0.13795075244222085,0.8770420814606051,8.416376610745548,11.961728767012174,0.14849728573682935,0.1563718822542731,1.4851218740478498,0.05702905668747425,0.4023947519206237,0.03879891631547261,0.9660607337579424,-0.5611830838969014,0.17600289197894792,0.006443011502265597,0.5976052480793763,4.024351321400362,490.4157639533684,0.9958452541231908,0.008205999107693897,5.16,-4.214063025175152,0
(주)강원엘피씨,-0.10028568519337783,-0.0773888359352347,0.07379925621068695,0.018739827483770025,0.9424935358790829,0.18922298081568542,0.05499339082981174,0.03676059093983436,9.533674230193265,49.019812231592,2.9345729504415017,5.053421703369034,2.4408313064614346,1.3278645535982672,0.2906274417237863,1.1456569083952421,0.5888135171833553,0.1015265241240164,0.26967887557753967,0.3250006967839152,0.7093725582762137,0.2417293999010963,11.38685189199013,0.4365265544597705,0.021228817428558665,5.69,2.07051215285997,1
(주)건영,-0.1653106051003571,-0.20411805148549142,-0.5063451407366043,-0.4615984220993244,0.9411492181026506,-1.0835618646460594,-0.17259861672443694,0.15411577886566355,0.6674629668535242,1.3290526274111376,0.37391509255917266,1.949444018984351,5.2779290194198065,1.3302328754942783,0.1592881978924346,0.8252068553243238,0.30256582435917745,0.17313937847481875,0.011272132095229745,0.07614970669534092,0.8407118021075655,2.2484029632329467,-42.476132200236854,0.6236320173591694,-0.052933326241517094,21.76,-1.3062695314411281,0
(주)경남세화약품,0.23940831433759502,0.2644530655591937,-0.024095506375382485,0.0037199331241830305,0.9173693384318469,0.05558197233912974,0.0046814212241718545,0.08080001130706477,4.080048469804406,6.407048479471867,1.2584691896040432,15.219882477683528,10.872882891597783,1.0051004000801498,0.0842255326170952,0.8068455156794122,0.08648769358270618,0.004635634067205448,0.11475477936442836,0.004361652657906156,0.9157743526281255,0.7276891323149984,-11.588351634947418,0.9924678005962704,-0.06279487844677405,5.3,0.3788470610434947,0
