구분,총자산증가율2017,유동자산증가율2017,매출액증가율2017,매출액순이익률2017,매출총이익률2017,자기자본순이익률2017,총자산순이익률2017,매출원가대매출액비율2017,매출액대판매관리비2017,매출채권회전율2017,재고자산회전율2017,총자본회전율2017,유형자산회전율2017,부채비율2017,유동비율2017,자기자본배율2017,당좌비율2017,고정비율2017,순운전자본비율2017,차입금의존도2017,현금비율2017,부채/총자산2017,부채/매출액2017,부채/현금흐름2017,유동부채/부채2017,총부채/총자산2017,유동부채/총부채2017,유동자산/총자산2017,현금흐름/매출액2017,이자보상배율2017,차입금평균금리2017,매출,자산,업종,정상기업여부
(주)A.M.C,-0.049991356981988,-0.0060085811020403,0.0104155730236973,-0.0697213445607607,0.1190570647718886,-0.1395326351242679,-0.0420360261563779,0.8809429352281114,0.1114853397812062,4.209372620797331,5.948988973522408,0.6029147375341333,1.1829435063147735,2.319358555899299,0.7928850287643232,0.3012630422907198,0.5030246724513014,0.7557796165606289,-0.0637944920842315,0.5110347397481668,0.1240727357522446,0.5110347397481668,0.8476069797833317,-139.4425347249226,0.6027278608796529,0.6987370147132334,0.4408166005775638,0.2442203834393711,-0.0060785396755401,0.2058074480688526,4.05,1,1,0,1
(주)EG메탈,-0.0569681581163501,0.0099271761036859,0.475173168653422,-0.0792285381592663,0.0243314047235451,-0.220423528302873,-0.0960291796756304,0.9756686288866636,0.0377743118183744,26.34663968794414,5.026310225946372,1.212052902990476,2.260952729208704,1.29538072747705,2.520327086193892,0.4356575743750982,1.2292145165177275,0.5407306496462756,0.277043235813411,0.3739688816338383,0.533034560987071,0.3739688816338383,0.308541715226416,-30.19190606962556,0.4872760348583878,0.5643424256249018,0.3228998308982029,0.4592693096163735,-0.0102193519850945,-1.2636485991229511,3.17,1,1,1,0
(주)KAL호텔네트워크,-0.0385257166025466,-0.1972984165493309,-0.0697960135559232,-0.3258668635047752,1.0,-0.1276887660524941,-0.0645208448659076,0.0,1.2572950094578634,14.356693167696047,0.0,0.1979975630905538,0.2129715092733281,0.9790312196849832,1.871386419673124,0.5052977396569283,1.7954317040593848,0.9309889712093165,0.0321340759255784,0.4538960604085384,1.209006538656453,0.4538960604085384,2.2924325598944364,154.06009987202742,0.0812453688888888,0.4947022623603875,0.0745437319998356,0.0690110287906835,0.0148801186147398,-3.4008718308461234,3.38,2,2,1,0
(주)KH엘텍,0.1010052750878746,0.3725335136361629,0.5180513715151285,0.0165340852180729,0.0850566654205578,0.2538339440880395,0.0349220442258058,0.9149433099333016,0.0499063890288789,8.628991654989237,13.828741718647269,2.1121243640158216,4.046903594370324,6.268587406660474,0.5840175500926498,0.1375783067598457,0.4100707756368832,0.5308188827105119,-0.3341870643945319,0.3200081290202953,0.1009574833635751,0.3200081290202953,0.1515100788913101,7.607246627892588,2.5104617940285805,0.8624216411844403,0.93152599995135,0.4691811172894881,0.0199165461963315,5.4739027807096665,3.92,2,1,0,1
(주)TS푸드앤시스템,-0.1669121194720413,-0.4780357109064386,-0.1360691644200085,-0.0969442939532667,0.2024422964091218,-5.742265939959288,-0.1788137651161092,0.7975577482801662,0.2770385052291159,14.193054407689472,16.299978171382957,1.844500153895688,3.4917909843375416,31.113109056401,0.282511911081546,0.0311399309934044,0.1619260598825081,0.7885564749364345,-0.536997364072685,0.5028193327274223,0.0259455625576831,0.5028193327274223,0.2726046575086696,-4.071057981209064,1.488488524590164,0.9688600690065956,0.7724962878016562,0.2114434426341666,-0.066961624906091,-6.684228651516668,3.33,1,0,1,0
(주)강원심층수,-0.0352445357007588,-0.0366198697724577,0.2377366392195417,-0.1118358930204286,0.3514240229810609,-2.190868575324364,-0.0420663322560033,0.6485758696067112,0.3797145777834778,11.89613481199232,14.494680493542656,0.3761433929652553,0.4008236193476968,51.081283483223146,0.0751297758839362,0.0192007556864862,0.050526766506763,0.9486039859795592,-0.6327004499413256,0.8609751402013777,0.0024083876311674,0.8609751402013777,2.2889545750466143,-225.03352798927105,0.7945600656968559,0.9807992443135136,0.6974887755348781,0.0513960140204407,-0.01017161573877,-0.3440365115006263,3.41,1,1,0,0
(주)건영,-0.080246671498137,-0.0816712392768375,0.3393841539508879,0.019007569762628,0.0545493340694099,0.0224786523358732,0.0147958895016623,0.94545066593059,0.1021025746075387,1.5810748923586395,1.728728194142975,0.7784208968551795,120.5890900588784,0.5192498114660717,3.0479970262203007,0.6582195978915428,1.599437503605969,0.1042128326140193,0.6018934530286506,0.1384399936944241,0.1094108883457539,0.1384399936944241,0.1778472215400713,-1.107787027185037,2.122896039753049,0.3417804021084571,0.8598904809763459,0.8957871673859806,-0.1605427913269515,-29.472577047177705,0.82,2,2,1,0
(주)고산,0.1295126484660101,0.0159752741179838,0.0863839836509703,-0.0226600228084871,0.077139411841759,-0.0378901002001566,-0.0165505817284511,0.9228606138174682,0.084607863501122,3.3498231542028822,16.24575991746587,0.7303868080067563,3.154577246410902,1.2893515661157608,1.1805311942790453,0.4368049079052785,1.052888111890531,0.6162669679895534,0.0586818737945099,0.1911598430442752,0.0491556907833022,0.1911598430442752,0.2617241178902932,-6.281484400980404,1.7004154901960784,0.5631950920947215,0.5771555235095472,0.3837330320104466,-0.0416659663835898,-1.1284617084546522,2.82,2,1,0,0
(주)국제금속,0.0132400706719565,0.7804585292272295,-0.1320471304279973,0.0027981929741757,0.1166737838910989,0.0037912386931689,0.0012068656878737,0.8833261090829697,0.0476127330891001,5.622704979690086,4.8393604109131205,0.4313018076350722,0.5462268929257253,2.141392394582321,6.526888592319693,0.3183301779569502,3.612606393249614,0.823685116486427,0.1493012642339294,0.6462466869471186,0.7628752706288843,0.6462466869471186,1.4983630383805693,369.0912446284042,0.0418007857142857,0.6816698220430498,0.0396285979019584,0.176314883513573,0.0040596006006295,1.2332817932139055,3.49,1,1,0,1
(주)국제금속,0.0132400706719565,0.7804585292272295,-0.1320471304279973,0.0027981929741757,0.1166737838910989,0.0037912386931689,0.0012068656878737,0.8833261090829697,0.0476127330891001,5.622704979690086,4.8393604109131205,0.4313018076350722,0.5462268929257253,2.141392394582321,6.526888592319693,0.3183301779569502,3.612606393249614,0.823685116486427,0.1493012642339294,0.6462466869471186,0.7628752706288843,0.6462466869471186,1.4983630383805693,369.0912446284042,0.0418007857142857,0.6816698220430498,0.0396285979019584,0.176314883513573,0.0040596006006295,1.2332817932139055,3.49,1,1,0,1
