구분,총자산증가율2018,유동자산증가율2018,매출액증가율2018,매출액순이익률2018,매출총이익률2018,자기자본순이익률2018,총자산순이익률2018,매출원가대매출액비율2018,매출액대판매관리비2018,매출채권회전율2018,재고자산회전율2018,총자본회전율2018,유형자산회전율2018,부채비율2018,유동비율2018,자기자본배율2018,당좌비율2018,고정비율2018,순운전자본비율2018,차입금의존도2018,현금비율2018,부채/총자산2018,부채/매출액2018,부채/현금흐름2018,유동부채/부채2018,총부채/총자산2018,유동부채/총부채2018,유동자산/총자산2018,현금흐름/매출액2018,이자보상배율2018,차입금평균금리2018,매출,자산,업종,정상기업여부
(주)EG메탈,-0.5801123022848317,-0.6421055087178257,-0.4734124259966225,-0.6191513522045555,0.0235918467854038,-9.761497792214588,-0.941143523861785,0.9764081532145962,0.052671490626226,42.649915203715246,144.93064147868844,1.5200540554595277,2.538122324378984,9.371954483796827,9.146795458873244,0.0964138438480625,8.907513533609597,0.6085382905450873,0.348664020229758,0.8595939611874893,5.209526119639829,0.8595939611874893,0.565502232042416,-8.155983647528949,0.0497882618510158,0.9035861561519374,0.047364259549322,0.3914617094549126,-0.0693358712426732,-1.2698622844449152,3.9,1,0,1,0
(주)KAL호텔네트워크,0.1728305657528741,-0.1545064032672019,0.0907460243921345,-0.1483283147440449,1.0,-0.0503953394816339,-0.0273131802278802,0.0,1.0748659979633584,13.664102767010304,0.0,0.1841400293329822,0.1941324187125769,0.8450923349523517,1.3282617374070504,0.5419782961841985,1.2623140142223952,0.9502499468804256,0.0122950457829229,0.3773338381697446,0.8013840868268636,0.3773338381697446,2.0491679051891976,-47.17512654223688,0.0992622541310541,0.4580217038158015,0.0817756167985309,0.0497500531195742,-0.0434374649393793,-0.9362145609193812,3.81,2,2,1,0
(주)가나스틸,-0.052751352271936,-0.0569164250182645,0.1095856823260983,0.0131794757257728,0.1749688007337211,0.0121194593325182,0.0068443163334045,0.8250311992662788,0.0945167629380762,6.758465549776283,1.2330655727102762,0.5193162820597079,1.0112024266036737,0.7707333708945867,3.767193298764936,0.5647377614478418,1.0090093663989692,0.5254184603125052,0.3486040540503535,0.3548236750297115,0.3655633119417205,0.3548236750297115,0.683251589228847,20.365653908381216,0.3550425028053511,0.4352622385521581,0.2894289338220303,0.4745815396874949,0.0335492094829159,2.6415687454213543,3.98,2,2,1,1
(주)가야미디어,0.0389743494483529,0.4181950331921765,0.023711683404876,-0.838343468329656,-0.0575900056690077,-1.174934741288279,-0.197353044009322,1.0575903070516608,0.7852118162494074,4.802942815578249,21.95002158016876,0.2354083397375719,0.2781108510338337,4.953466525871172,0.1719741796246131,0.1679693663606632,0.1581465557393734,0.858934679036969,-0.6792046900594487,0.6385319101355731,0.0631421328959993,0.6385319101355731,2.7124438787826914,14.29242945892038,1.2846185555555556,0.8320306336393367,0.9858650714416544,0.1410652500150409,0.1897818622494417,-10.607363266358917,3.3,0,0,1,0
(주)가야호텔,-0.0118798818765118,0.1966269106989773,-0.0021936831538292,-0.1536999694783563,1.0,-0.2359112474572717,-0.0399764268839301,0.0,1.1204232834734182,62.0955474917864,0.0,0.2600939155655429,0.2750977226055864,4.901258962994118,0.6971866784300641,0.1694553664346617,0.5945353423906035,0.9475334878892012,-0.0227880986470311,0.7678060390782372,0.520180981643232,0.7678060390782372,2.952033835196549,121.64472592375652,0.0980125278099846,0.8305446335653383,0.0906087496282758,0.0524665121107987,0.024267668102987,-2.3644916328452976,1.75,0,1,1,0
(주)강원심층수,-0.0055548855490918,0.245575240369687,0.001082930080977,-0.136948151015734,0.3543291642744122,-0.726917447390153,-0.051855980267102,0.6456708357255878,0.3992257947390394,10.85964619959358,12.766748558408333,0.3786541102051409,0.4067706206100349,13.018006093914629,0.072709114533765,0.0713368216064702,0.0510797475587266,0.9356248006176768,-0.82100484953064,0.5518512674093372,0.0034933873022032,0.5518512674093372,1.457402026113923,384.24328147100425,1.6043816535375102,0.92866317839353,0.953392004240503,0.0643751993823231,0.0037929147922496,-0.4887437423056348,3.92,1,1,0,0
(주)건영,-0.2279208931236994,-0.5923504515376082,-0.559943094030903,-0.2866926254833351,0.0004822487969035,-0.2761566597562611,-0.1271973456815203,0.9995177633743346,0.1787019885733982,5.962444851080227,2.253380882618864,0.4436714947483506,2.913621098695339,1.171088227325973,1.3587297137742689,0.460598508809406,0.7933756619354473,0.5270339126508631,0.1248717735541324,0.3251088910933977,0.1449061366596374,0.3251088910933977,0.7327693911861493,14.32262579966309,1.070700689311519,0.539401491190594,0.6453343557257755,0.4729660873491368,0.0511616655657781,-13.562498263319643,2.3,2,2,1,0
(주)고강알루미늄,-0.2863995610585902,-0.7889904761924946,-0.5249572701793522,-0.2814892532084479,-0.1265786501804402,-1.5387632357632413,-0.2607730648357366,1.1265786501804402,0.0413235841486335,12.871067862788385,25.46289699856611,0.926405046954419,1.0603207957395706,4.900775043979547,0.1673013513741154,0.169469258671488,0.1051627422160122,0.8896448675116829,-0.5492637622900252,0.4567955723211995,0.0062281731956413,0.4567955723211995,0.493084071403677,-381.6353366052412,1.444013328383415,0.8305307136189429,0.7942137285978602,0.110355132488317,-0.0012920293906476,-5.014606749602917,5.08,2,1,0,0
(주)고산,0.1041881491129986,0.2247133562232246,-0.0375626197403876,-0.0067039859197526,0.0960290208878899,-0.0107549702003118,-0.0042679115918923,0.90397097911211,0.0903265431090268,3.040495319095125,18.2799528586709,0.636622994585559,2.7781803217357663,1.5199608681545254,1.0966413095053276,0.3968315590282728,1.015525404901899,0.5743814404232174,0.037507555652655,0.220939037295158,0.0626574071846991,0.220939037295158,0.3470484716609854,19.74625394022687,1.7566429576030071,0.6031684409717273,0.6434537644225319,0.4256185595767826,0.0175754081109015,0.6393910134729152,2.84,2,2,0,1
(주)광성텍,0.0541829486687208,0.0803576205983052,0.1954754669797915,0.009221748016629,0.2077193458141682,0.0225905257375591,0.0074970709173347,0.7922806541858317,0.1968762826977143,4.495142599518732,4.593339449094872,0.8129772038680467,1.5843689467108748,2.01324690491124,0.6991361189568279,0.3318679257149877,0.4502189537428824,0.6061455367266287,-0.1694900022665245,0.1881053255220181,0.0333391209917229,0.1881053255220181,0.2313783518492718,-35.402674119957695,2.994835281651583,0.6681320742850122,0.8431633313559258,0.3938544632733712,-0.0065356179328508,0.5673166586160312,3.79,1,1,0,1
