,구분,이자보상배율2009,영업이익2009,차입금의존도2009,총자본증가율2009,유동자산증가율2009,매출액증가율2009,순이익증가율2009,영업이익증가율2009,매출액순이익률2009,매출액총이익률2009,자기자본순이익률2009,총자본순이익률2009,매출원가 대 매출액비율2009,매출채권회전률2009,재고자산회전률2009,총자본회전률2009,유형자산회전율2009,부채비율2009,유동비율2009,자기자본배율2009,당좌비율2009,비유동비율2009,순운전자본비율2009,현금비율2009,부채2009,자산2009,매출액2009,부채/현금흐름2009,유동부채2009,유동자산2009,매출/현금흐름2009,차입금평균이자율2009,정상기업여부
0,(주)CMG제약,-8.29,-8649578,14.75,-33.92,-41.24,-6.12,0,0,-179.14,24.33,-106.4,-63.34,75.67,1.75,4.9,0.35,0.95,142.62,108.59,113.51,81.75,138.21,3.4,11.75,13423539,22835684,10146823,-44.57,9050137,9827478,-58.97,22.83,0
1,(주)DB하이텍,-0.76,-130420429,58.57,-26.58,-17.64,-14.45,0,0,-15.3,12.78,-23.66,-6.1,87.22,7.61,3.89,0.4,0.58,288.09,101.58,332.97,49.91,303.43,0.34,11.83,1817278011,2448081636,1152892773,2.46,525687598,534019498,3.88,10.15,0
2,(주)ES큐브,10.3,937690,7.31,16.14,30.21,117.58,0,0,13.26,21.06,9.58,8.53,78.94,14.86,83.65,0.64,22.41,15.98,727.53,383.65,718.68,48.09,50.49,78.9,6504256,47208566,28257908,9.91,3798568,27635607,2.28,4.1,1
3,(주)골드퍼시픽,999999999,-797315,0,-2.83,19.55,-18.41,0,0,1.87,26.77,0.76,0.69,73.23,5.8,5.26,0.37,16,7.37,1666.53,184.01,1551.14,25.82,71.4,851.91,1516561,22084290,8283127,27.7,1006550,16774451,5.07,0,0
4,(주)국동,1.58,2635426,59.52,-48.49,-48.08,-25.54,0,0,-20.25,18.96,-93.12,-26.56,81.04,5.47,9.56,1.31,24.6,344.77,100.26,58.79,79.95,100.15,0.2,1.7,40163496,51812824,99958317,8.94,40041098,40146038,3.59,4.74,1
5,(주)기산텔레콤,-1.24,-1212787,23.39,14.74,24.77,-18.04,0,0,-14.67,23.7,-15.09,-9.44,76.3,4.04,2.64,0.64,36.63,74.75,164.9,530.91,96.74,64,24.94,22.38,28449915,66509251,40064047,-12.61,25562369,42152718,-8.96,6.89,0
6,(주)나노엔텍,6.4,1782350,10.94,62.14,48.57,105.94,0,0,107.59,37.08,51.29,39.39,62.92,5.38,6.27,0.37,1.6,28.04,283.31,396.86,253.2,68.07,30.3,39.7,9818161,44838777,13270192,8.01,7412652,21000621,5.92,5.69,1
7,(주)네오위즈홀딩스,4.28,8389667,19.9,22.66,-46.32,177.38,0,0,37.68,53.83,4.32,3.36,46.17,15.81,0,0.09,0.7,30.05,154.43,3905.49,154.43,113.63,4.45,23.39,54567740,236150803,19096308,2.72,19312868,29824395,7.79,4.5,1
8,(주)녹원씨엔아이,2.18,698036,24.61,9.65,8.57,-12.11,0,0,3.25,9.9,13.32,5.8,90.1,6.08,52.25,1.78,4.25,125.16,122.54,373.74,112.99,117.52,8.79,40.8,10376545,18667036,31829631,2.03,7282490,8923992,0.66,7.66,1
9,(주)대명소노시즌,-0.2,-448515,20.18,-8.21,-17.03,113.06,0,0,-5.92,35.07,-0.81,-0.59,64.93,38.65,8.83,0.1,0.93,27.19,174.78,265.48,163.07,104.54,7.62,13.42,18392298,86034294,8950796,-16.43,8767118,15322924,-33.77,9.51,0
10,(주)동양,-0.09,-8828757,65.89,6.21,2.97,19.28,0,0,-12.3,11.16,-32.69,-5.92,88.84,3.75,19.41,0.48,2.12,501.22,33.87,56.63,30.12,444.17,-51.01,9.35,1217459665,1460360553,681971406,-9.56,1126375814,381467642,-17.07,10.65,0
11,(주)드래곤플라이,19,15929312,15.23,131.82,-22.38,292.75,0,0,-16.09,98.55,-11.53,-9.06,1.45,9.74,161.33,0.56,2.75,33.66,105.3,907.4,105.3,98.23,1.33,28.99,21502749,85378601,34405029,26.9,21493256,22632310,16.81,9.86,1
12,(주)디모아,999999999,-1261178,0,-37.71,-69.45,-96.94,0,0,-425.31,0,-46.04,-23.72,0,0.21,0.49,0.06,1.68,46.58,122.59,149.33,120.24,97.26,6.2,4.38,2236074,7036484,511139,-154.22,1931152,2367434,-674.65,0,0
13,(주)디지털대성,999999999,129761,0,2.92,-6.72,7.06,0,0,0.58,27.96,0.82,0.72,72.04,9.29,71.4,1.25,16.25,13.91,360.04,481.46,346.56,65.07,30.96,26.01,3305269,27071932,33400784,63.34,3223616,11606416,6.27,0,1
