구분,총자산증가율2017,유동자산증가율2017,매출액증가율2017,매출액순이익률2017,매출원가대매출액비율2017,자기자본순이익률2017,총자산순이익률2017,매출액대판매관리비2017,매출채권회전율2017,재고자산회전율2017,총자본회전율2017,유형자산회전율2017,부채비율2017,유동비율2017,자기자본배율2017,당좌비율2017,고정비율2017,순운전자본비율2017,차입금의존도2017,현금비율2017,부채/자산2017,부채/매출액2017,부채/현금흐름2017,유동부채/부채2017,현금흐름/매출액2017,차입금평균금리2017,이자보상배율2017,매출,자산,업종,정상기업여부
(주)A.M.C,-0.049991356981988,-0.0060085811020403,0.0104155730236973,-0.0697213445607607,0.8809429352281114,-0.1395326351242679,-0.0420360261563779,0.1114853397812062,4.209372620797331,5.948988973522408,0.6029147375341333,1.1829435063147735,2.319358555899299,0.7928850287643232,0.3012630422907198,0.5030246724513014,0.7557796165606289,-0.0637944920842315,0.5110347397481668,0.1203713591177398,0.6987370147132334,1.1589317215415973,-190.65956354699725,0.4408166005775638,-0.0060785396755401,4.05,0.2058074480688526,1,1,0,0
(주)E&T,-0.0042062842436515,0.0449743808266422,0.2106266719552964,0.0147553219482505,0.8592949344741141,0.0908275879421244,0.0363802135774621,0.1209807245421922,266.9082666252744,4.800013987297826,2.465565556959981,20.434183803997723,1.496620525570332,1.517595685048398,0.4005414478323887,0.590334218891421,0.2776125807328907,0.2463795955864091,0.5172254917847645,0.019703721241685,0.5994585521676113,0.2431322705962594,-755.0569674140199,0.7940629455689312,-0.0003220052010498,3.51,2.645002768472171,2,1,1,1
(주)EG메탈,-0.0569681581163501,0.0099271761036859,0.475173168653422,-0.0792285381592663,0.9756686288866636,-0.220423528302873,-0.0960291796756304,0.0377743118183744,26.34663968794414,5.026310225946372,1.212052902990476,2.260952729208704,1.29538072747705,2.520327086193892,0.4356575743750982,1.2292145165177275,0.5407306496462756,0.277043235813411,0.3739688816338383,0.4883237793844845,0.5643424256249018,0.4656087405364155,-45.56147407541399,0.3228998308982029,-0.0102193519850945,3.17,-1.2636485991229511,1,1,1,0
(주)KAL호텔네트워크,-0.0385257166025466,-0.1972984165493309,-0.0697960135559232,-0.3258668635047752,0.0,-0.1276887660524941,-0.0645208448659076,1.2572950094578634,14.356693167696047,0.0,0.1979975630905538,0.2129715092733281,0.9790312196849832,1.871386419673124,0.5052977396569283,1.7954317040593848,0.9309889712093165,0.0321340759255784,0.4538960604085384,0.4431509203834004,0.4947022623603875,2.49852702547726,167.91042398024197,0.0745437319998356,0.0148801186147398,3.38,-3.4008718308461234,2,2,1,0
(주)KH엘텍,0.1010052750878746,0.3725335136361629,0.5180513715151285,0.0165340852180729,0.9149433099333016,0.2538339440880395,0.0349220442258058,0.0499063890288789,8.628991654989237,13.828741718647269,2.1121243640158216,4.046903594370324,6.268587406660474,0.5840175500926498,0.1375783067598457,0.4100707756368832,0.5308188827105119,-0.3341870643945319,0.3200081290202953,0.1009574833635751,0.8624216411844403,0.408319536423841,20.501523326321,0.93152599995135,0.0199165461963315,3.92,5.4739027807096665,2,1,0,1
(주)TS푸드앤시스템,-0.1669121194720413,-0.4780357109064386,-0.1360691644200085,-0.0969442939532667,0.7975577482801662,-5.742265939959288,-0.1788137651161092,0.2770385052291159,14.193054407689472,16.299978171382957,1.844500153895688,3.4917909843375416,31.113109056401,0.282511911081546,0.0311399309934044,0.1619260598825081,0.7885564749364345,-0.536997364072685,0.5028193327274223,0.0259455625576831,0.9688600690065956,0.5252697143777998,-7.8443394274624225,0.7724962878016562,-0.066961624906091,3.33,-6.684228651516668,1,0,1,0
(주)강원심층수,-0.0352445357007588,-0.0366198697724577,0.2377366392195417,-0.1118358930204286,0.6485758696067112,-2.190868575324364,-0.0420663322560033,0.3797145777834778,11.89613481199232,14.494680493542656,0.3761433929652553,0.4008236193476968,51.081283483223146,0.0751297758839362,0.0192007556864862,0.050526766506763,0.9486039859795592,-0.6327004499413256,0.8609751402013777,0.0024083876311674,0.9807992443135136,2.6075142157398226,-256.35201748735443,0.6974887755348781,-0.01017161573877,3.41,-0.3440365115006263,1,1,0,0
(주)강진금속,-0.01400763473827,0.0208696319316213,0.0061286169058174,-0.0094863638459157,0.9109994970434404,-0.0257617612235396,-0.0094430271568978,0.0875916006601174,4.576422424008419,4.38158493157993,0.9954316859734906,2.3897709086451004,1.728125292398569,0.8082016796136416,0.3665520798426378,0.4333811619671003,0.553733017622641,-0.1059058151237493,0.5102231717220679,0.0060548775770691,0.6334479201573622,0.6363549895821093,524.0484699703129,0.871694072914371,0.001214305595851,3.76,0.0716557365489034,1,0,0,0
(주)건영,-0.080246671498137,-0.0816712392768375,0.3393841539508879,0.019007569762628,0.94545066593059,0.0224786523358732,0.0147958895016623,0.1021025746075387,1.5810748923586395,1.728728194142975,0.7784208968551795,120.5890900588784,0.5192498114660717,3.0479970262203007,0.6582195978915428,1.599437503605969,0.1042128326140193,0.6018934530286506,0.1384399936944241,0.0169552995191724,0.3417804021084571,0.4390688938198474,-2.734902577629081,0.8598904809763459,-0.1605427913269515,0.82,-29.472577047177705,2,2,1,0
(주)고산,0.1295126484660101,0.0159752741179838,0.0863839836509703,-0.0226600228084871,0.9228606138174682,-0.0378901002001566,-0.0165505817284511,0.084607863501122,3.3498231542028822,16.24575991746587,0.7303868080067563,3.154577246410902,1.2893515661157608,1.1805311942790453,0.4368049079052785,1.052888111890531,0.6162669679895534,0.0586818737945099,0.1911598430442752,0.0404164195625083,0.5631950920947215,0.7710915448099274,-18.50650811050486,0.5771555235095472,-0.0416659663835898,2.82,-1.1284617084546522,2,1,0,0
